model,value
C1 --- Nokia,null
2.3 --- Nokia,null
7.2 --- Nokia,null
6.2 --- Nokia,null
800 Tough --- Nokia,null
2720 Flip --- Nokia,null
220 4G --- Nokia,null
110 (2019) --- Nokia,null
105 (2019) --- Nokia,null
3.1 C --- Nokia,null
3.1 A --- Nokia,null
2.2 --- Nokia,null
X71 --- Nokia,null
9 PureView --- Nokia,null
4.2 --- Nokia,null
3.2 --- Nokia,null
1 Plus --- Nokia,null
210 --- Nokia,null
8.1 (Nokia X7) --- Nokia,null
106 (2018) --- Nokia,null
3.1 Plus --- Nokia,null
7.1 --- Nokia,null
6.1 Plus (Nokia X6) --- Nokia,null
5.1 Plus (Nokia X5) --- Nokia,null
5.1 --- Nokia,null
3.1 --- Nokia,null
2.1 --- Nokia,null
8110 4G --- Nokia,null
8 Sirocco --- Nokia,null
7 plus --- Nokia,null
6.1 --- Nokia,null
1 --- Nokia,null
3310 4G --- Nokia,null
2 --- Nokia,null
7 --- Nokia,null
3310 3G --- Nokia,null
8 --- Nokia,null
105 (2017) --- Nokia,null
130 (2017) --- Nokia,null
3 --- Nokia,null
5 --- Nokia,null
6 --- Nokia,null
3310 (2017) --- Nokia,null
150 --- Nokia,null
216 --- Nokia,null
230 Dual SIM --- Nokia,null
230 --- Nokia,null
222 Dual SIM --- Nokia,null
222 --- Nokia,null
105 Dual SIM (2015) --- Nokia,null
105 (2015) --- Nokia,null
215 --- Nokia,null
215 Dual SIM --- Nokia,null
Lumia 638 --- Nokia,null
N1 --- Nokia,null
Lumia 730 Dual SIM --- Nokia,null
Lumia 735 --- Nokia,null
Lumia 830 --- Nokia,null
130 Dual SIM --- Nokia,null
130 --- Nokia,null
Lumia 530 Dual SIM --- Nokia,null
Lumia 530 --- Nokia,null
X2 Dual SIM --- Nokia,null
225 --- Nokia,null
225 Dual SIM --- Nokia,null
Lumia 930 --- Nokia,null
Lumia 635 --- Nokia,null
Lumia 630 Dual SIM --- Nokia,null
Lumia 630 --- Nokia,null
XL --- Nokia,null
X+ --- Nokia,null
X --- Nokia,null
Asha 230 --- Nokia,null
220 --- Nokia,null
Lumia Icon --- Nokia,null
Lumia 525 --- Nokia,null
Lumia 1520 --- Nokia,null
Lumia 1320 --- Nokia,null
Lumia 2520 --- Nokia,null
Asha 503 Dual SIM --- Nokia,null
Asha 503 --- Nokia,null
Asha 502 Dual SIM --- Nokia,null
Asha 500 Dual SIM --- Nokia,null
Asha 500 --- Nokia,null
108 Dual SIM --- Nokia,null
515 --- Nokia,null
107 Dual SIM --- Nokia,null
106 --- Nokia,null
Lumia 625 --- Nokia,null
Lumia 1020 --- Nokia,null
208 --- Nokia,null
207 --- Nokia,null
Lumia 925 --- Nokia,null
Lumia 928 --- Nokia,null
Asha 501 --- Nokia,null
Asha 210 --- Nokia,null
Lumia 720 --- Nokia,null
Lumia 520 --- Nokia,null
301 --- Nokia,null
105 --- Nokia,null
Asha 310 --- Nokia,null
Lumia 505 --- Nokia,null
Lumia 620 --- Nokia,null
114 --- Nokia,null
206 --- Nokia,null
Asha 205 --- Nokia,null
109 --- Nokia,null
Lumia 822 --- Nokia,null
Lumia 510 --- Nokia,null
Lumia 810 --- Nokia,null
Asha 309 --- Nokia,null
Asha 308 --- Nokia,null
Lumia 920 --- Nokia,null
Lumia 820 --- Nokia,null
Asha 311 --- Nokia,null
Asha 306 --- Nokia,null
Asha 305 --- Nokia,null
113 --- Nokia,null
112 --- Nokia,null
111 --- Nokia,null
110 --- Nokia,null
Lumia 610 NFC --- Nokia,null
103 --- Nokia,null
808 PureView --- Nokia,null
800c --- Nokia,null
Lumia 610 --- Nokia,null
Asha 302 --- Nokia,null
Asha 203 --- Nokia,null
Asha 202 --- Nokia,null
Lumia 900 --- Nokia,null
Lumia 900 AT&T --- Nokia,null
801T --- Nokia,null
X2-02 --- Nokia,null
Lumia 800 --- Nokia,null
Lumia 710 T-Mobile --- Nokia,null
Lumia 710 --- Nokia,null
Asha 303 --- Nokia,null
Asha 300 --- Nokia,null
Asha 201 --- Nokia,null
Asha 200 --- Nokia,null
603 --- Nokia,null
C2-05 --- Nokia,null
X2-05 --- Nokia,null
C5-06 --- Nokia,null
C5-05 --- Nokia,null
C5-04 --- Nokia,null
101 --- Nokia,null
100 --- Nokia,null
701 --- Nokia,null
700 --- Nokia,null
600 --- Nokia,null
C3-01 Gold Edition --- Nokia,null
500 --- Nokia,null
N9 --- Nokia,null
C5 5MP --- Nokia,null
C2-06 --- Nokia,null
C2-03 --- Nokia,null
C2-02 --- Nokia,null
702T --- Nokia,null
T7 --- Nokia,null
N950 --- Nokia,null
Oro --- Nokia,null
X1-01 --- Nokia,null
X7-00 --- Nokia,null
E6 --- Nokia,null
C7 Astound --- Nokia,null
X1-00 --- Nokia,null
X2-01 --- Nokia,null
C2-01 --- Nokia,null
C5-03 --- Nokia,null
E7 --- Nokia,null
C6-01 --- Nokia,null
C7 --- Nokia,null
C3-01 Touch and Type --- Nokia,null
5250 --- Nokia,null
X3 Touch and Type S --- Nokia,null
X3-02 Touch and Type --- Nokia,null
X6 8GB (2010) --- Nokia,null
X5-01 --- Nokia,null
5233 --- Nokia,null
